run_id,condition,smm_mode,explicit_smm_memory,run_tag,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,mean_gold_standard_memory_similarity,min_gold_standard_memory_similarity,max_gold_standard_memory_similarity,context_alignment,memory_similarity_method,gold_standard_similarity_method,gold_standard_file,embedding_model,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,gold_similarity_agent_1,gold_similarity_agent_2,gold_similarity_agent_3,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_baseline_20260508_080303_001,low,baseline,False,transparency_experiment,completed,20260508_113007,2026-05-08T11:31:22+0200,5,15,0,0,0,15,25222,10187,35409,75.1567,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_001/metadata.json,1,1,1,0,,,,,,
low_baseline_20260508_080303_002,low,baseline,False,transparency_experiment,completed,20260508_113125,2026-05-08T11:32:43+0200,5,15,0,0,0,15,25300,9960,35260,77.7596,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_002/metadata.json,0,1,1,1,,,,,,
low_baseline_20260508_080303_003,low,baseline,False,transparency_experiment,completed,20260508_113246,2026-05-08T11:34:20+0200,5,15,0,0,0,15,25345,11466,36811,94.2643,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_003/metadata.json,1,1,1,0,,,,,,
low_baseline_20260508_080303_004,low,baseline,False,transparency_experiment,completed,20260508_113423,2026-05-08T11:35:26+0200,4,12,0,0,0,12,19394,8006,27400,63.1059,Candidate A,consensus,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_004/metadata.json,3,0,0,0,,,,,,
low_baseline_20260508_080303_005,low,baseline,False,transparency_experiment,completed,20260508_113530,2026-05-08T11:36:57+0200,5,15,0,0,0,15,25219,10948,36167,87.2249,Candidate C,max_round_majority_vote,Candidate C,1,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_005/metadata.json,0,1,2,0,,,,,,
low_baseline_20260508_080303_006,low,baseline,False,transparency_experiment,completed,20260508_113700,2026-05-08T11:38:14+0200,5,15,0,0,0,15,25161,9726,34887,74.8461,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_006/metadata.json,2,1,0,0,,,,,,
low_baseline_20260508_080303_007,low,baseline,False,transparency_experiment,completed,20260508_113818,2026-05-08T11:39:49+0200,5,15,0,0,0,15,25072,10747,35819,91.1905,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_007/metadata.json,2,1,0,0,,,,,,
low_baseline_20260508_080303_008,low,baseline,False,transparency_experiment,completed,20260508_113952,2026-05-08T11:41:43+0200,5,15,0,0,0,15,25198,15507,40705,111.3637,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_008/metadata.json,1,1,1,0,,,,,,
low_baseline_20260508_080303_009,low,baseline,False,transparency_experiment,completed,20260508_114146,2026-05-08T11:42:59+0200,5,15,0,0,0,15,25186,9811,34997,72.9148,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_009/metadata.json,0,2,1,0,,,,,,
low_baseline_20260508_080303_010,low,baseline,False,transparency_experiment,completed,20260508_114302,2026-05-08T11:44:37+0200,5,15,0,0,0,15,25187,13297,38484,95.3997,Candidate D,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_010/metadata.json,0,0,1,2,,,,,,
low_baseline_20260508_080303_011,low,baseline,False,transparency_experiment,completed,20260508_114441,2026-05-08T11:46:06+0200,5,15,0,0,0,15,25129,11116,36245,85.1321,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_011/metadata.json,0,2,1,0,,,,,,
low_baseline_20260508_080303_012,low,baseline,False,transparency_experiment,completed,20260508_114609,2026-05-08T11:47:24+0200,5,15,0,0,0,15,25044,11023,36067,75.0883,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_012/metadata.json,1,2,0,0,,,,,,
low_baseline_20260508_080303_013,low,baseline,False,transparency_experiment,completed,20260508_114727,2026-05-08T11:48:38+0200,5,15,0,0,0,15,25227,9839,35066,71.5841,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_013/metadata.json,1,1,1,0,,,,,,
low_baseline_20260508_080303_014,low,baseline,False,transparency_experiment,completed,20260508_114842,2026-05-08T11:50:13+0200,5,15,0,0,0,15,25004,12539,37543,91.6702,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_014/metadata.json,2,1,0,0,,,,,,
low_baseline_20260508_080303_015,low,baseline,False,transparency_experiment,completed,20260508_115016,2026-05-08T11:51:23+0200,5,15,0,0,0,15,24866,9900,34766,67.0215,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_015/metadata.json,1,2,0,0,,,,,,
low_baseline_20260508_080303_016,low,baseline,False,transparency_experiment,completed,20260508_115126,2026-05-08T11:52:46+0200,5,15,0,0,0,15,25098,11764,36862,79.4485,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_016/metadata.json,1,1,1,0,,,,,,
low_baseline_20260508_080303_017,low,baseline,False,transparency_experiment,completed,20260508_115248,2026-05-08T11:54:04+0200,5,15,0,0,0,15,25252,11149,36401,75.675,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_017/metadata.json,1,2,0,0,,,,,,
low_baseline_20260508_080303_018,low,baseline,False,transparency_experiment,completed,20260508_115407,2026-05-08T11:55:18+0200,5,15,0,0,0,15,25020,10538,35558,71.2537,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_018/metadata.json,0,1,1,1,,,,,,
low_baseline_20260508_080303_019,low,baseline,False,transparency_experiment,completed,20260508_115521,2026-05-08T11:56:21+0200,5,15,0,0,0,15,25151,8697,33848,59.8293,Candidate A,consensus,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_019/metadata.json,3,0,0,0,,,,,,
low_baseline_20260508_080303_020,low,baseline,False,transparency_experiment,completed,20260508_115624,2026-05-08T11:57:28+0200,5,15,0,0,0,15,25088,9039,34127,64.0419,Candidate A,max_round_majority_vote,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_020/metadata.json,2,1,0,0,,,,,,
low_baseline_20260508_080303_021,low,baseline,False,transparency_experiment,completed,20260508_115731,2026-05-08T11:58:52+0200,5,15,0,0,0,15,25087,11752,36839,81.178,,max_round_no_majority,Candidate C,0,,,,,,,,not_applicable,,,,01_data/raw/simulations/low/low_baseline_20260508_080303_021/metadata.json,1,1,1,0,,,,,,
